name,date,long
HELLAS-SAT 2,13-May-03,-10
GSAT 2,8-May-03,-28.9
COSMOS 2397,24-Apr-03,-4.4
ASIASAT 4,12-Apr-03,147.6
GALAXY 12,9-Apr-03,-129
INSAT 3A,9-Apr-03,-129.6
USA 169,8-Apr-03,151.7
INTELSAT 907,15-Feb-03,115.4
NIMIQ 2,29-Dec-02,-109.1
NSS 6,17-Dec-02,-169.5
TDRS 10,5-Dec-02,-171.3
EUTE 25C (EUTE W5),20-Nov-02,127.5
HISPASAT 1D,18-Sep-02,83.7
KALPANA 1 (METSAT 1),12-Sep-02,-18.9
DRTS,10-Sep-02,114.1
INTELSAT 906,6-Sep-02,64.1
METEOSAT 8 (MSG 1),28-Aug-02,41.5
EUTE 12 WEST A (AB 1),28-Aug-02,-123
ECHOSTAR 8,22-Aug-02,169.8
EUTE HOT BIRD 13A (HB 6),21-Aug-02,-77.7
NSTAR C,5-Jul-02,18.7
EUTE 5 WEST A (STELLAT5),5-Jul-02,-5
GALAXY 3C,15-Jun-02,-95.1
EXPRESS 4A,10-Jun-02,21.1
INTELSAT 905,5-Jun-02,-24.5
DIRECTV 5 (TEMPO 1),7-May-02,-110.1
NSS 7,16-Apr-02,-20.1
INTELSAT 903,30-Mar-02,-42.1
ASTRA 3A,29-Mar-02,-86.6
JCSAT 8,29-Mar-02,-68.2
TDRS 9,8-Mar-02,-62.1
INTELSAT 904,23-Feb-02,-29.5
ECHOSTAR 7,21-Feb-02,61.6
INSAT 3C,23-Jan-02,-102.4
USA 164,14-Jan-02,19
DIRECTV 4S,27-Nov-01,-8.8
RADUGA 1-6,6-Oct-01,-42.8
EUTE 8 WEST A (AB 2),25-Sep-01,-36
INTELSAT 902,30-Aug-01,-50
COSMOS 2379,24-Aug-01,50.2
GOES 12,23-Jul-01,11.8
ARTEMIS,12-Jul-01,-119.5
ASTRA 2C,16-Jun-01,-72.4
INTELSAT 901,9-Jun-01,-27.5
INTELSAT 10 (PAS 10),15-May-01,177.7
XM-1,8-May-01,-154.4
GSAT 1,18-Apr-01,179
EKRAN 21,7-Apr-01,60.5
XM-2,18-Mar-01,161.3
BSAT-2A,8-Mar-01,-157.3
EUTE 28A (EB 1),8-Mar-01,-132.9
USA 157,27-Feb-01,-123.8
SKYNET 4F,7-Feb-01,-155.7
SICRAL 1,7-Feb-01,123.1
TURKSAT 2A,10-Jan-01,-88.2
BEIDOU 1B,20-Dec-00,-108
AMC-8 (GE-8),20-Dec-00,-135
ASTRA 2D,20-Dec-00,23.5
ANIK F1,21-Nov-00,-109
INTELSAT 1R (PAS 1R),16-Nov-00,157.2
BEIDOU 1,30-Oct-00,110
INTELSAT 12 (PAS 12),29-Oct-00,-6.5
AMC-6 (GE-6),21-Oct-00,-139
THURAYA 1,21-Oct-00,49.8
NSAT 110,6-Oct-00,157.1
NSS 11 (AAP-1),1-Oct-00,176
AMC-7 (GE-7),14-Sep-00,178.5
ASTRA 2B,14-Sep-00,-104.9
EUROBIRD 4A(EUTELSAT W1),6-Sep-00,-105.6
RADUGA 1-5,28-Aug-00,45.8
NILESAT 102,17-Aug-00,42.8
BRAZILSAT B4,17-Aug-00,-179.9
INTELSAT 9 (PAS 9),28-Jul-00,-49.9
ECHOSTAR 6,14-Jul-00,134.6
COSMOS 2371,4-Jul-00,71.3
TDRS 8,30-Jun-00,89.3
FENGYUN 2B,25-Jun-00,-151.4
EXPRESS 3A,24-Jun-00,146.5
GORIZONT 33,6-Jun-00,-43.6
EUTE 36A (EUTE W4),24-May-00,34.4
GOES 11,3-May-00,93.8
GALAXY 4R,19-Apr-00,-114.6
EUTE 16C (SESAT 1),17-Apr-00,-73.2
INSAT 3B,21-Mar-00,147.9
ASIASTAR,21-Mar-00,105.1
EXPRESS 2A,12-Mar-00,164.4
SUPERBIRD 4,18-Feb-00,93.8
GARUDA 1,12-Feb-00,-167.1
HISPASAT 1C,3-Feb-00,-41.6
CHINASAT 22,25-Jan-00,-42
GALAXY 10R,25-Jan-00,99.9
GALAXY 11,22-Dec-99,-93.1
AMC-4 (GE-4),13-Nov-99,-134.9
TELSTAR 12 (ORION 2),19-Oct-99,-116.1
DIRECTV 1R,10-Oct-99,4.1
ABS 1 (LMI 1),26-Sep-99,159
GALAXY 27 (TELSTAR 7),25-Sep-99,-4.5
ECHOSTAR 5,23-Sep-99,-135.2
YAMAL 102,6-Sep-99,-56.2
YAMAL 101,6-Sep-99,130.2
